id_cliente;id_geografia;id_cliente_alternativa;primer_nombre;segundo_nombre;fecha_nacimiento;estado_civil;genero;correo;salario_mensual;cantidad_hijos;cantidad_hijos_en_casa;EnglishEducation;nivel_educativo;EnglishOccupation;ocupacion;casa_propia?;cantidad_autos;direccion1;direccion2;telefono;fecha_primera_compra;distancia_tienda_mas_cercana
11023;298;AW00011023;Seth;Edwards;09/04/1984;C;Hombre;seth46@adventure-works.com;40000;0;0;Partial College;Estudios universitarios (en curso);Skilled Manual;Obrero especializado;1;1;4499 Valley Crest;;452-555-0188;17/02/2013;1-2 Km
11024;311;AW00011024;Russell;Xie;16/03/1984;C;Hombre;russell7@adventure-works.com;60000;0;0;Partial College;Estudios universitarios (en curso);Skilled Manual;Obrero especializado;1;2;8734 Oxford Place;;746-555-0186;27/06/2013;5-10 Km
11025;24;AW00011025;Alejandro;Beck;22/06/1951;C;Hombre;alejandro45@adventure-works.com;10000;2;1;Partial High School;Educación secundaria (en curso);Clerical;Administrativo;1;2;2596 Franklin Canyon Road;;1 (11) 500 555-0178;06/01/2011;1-2 Km
11026;4;AW00011026;Harold;Sai;01/10/1951;S;Hombre;harold3@adventure-works.com;30000;2;0;Partial College;Estudios universitarios (en curso);Clerical;Administrativo;0;2;8211 Leeds Ct.;;1 (11) 500 555-0131;23/01/2011;1-2 Km
11027;40;AW00011027;Jessie;Zhao;05/06/1952;C;Hombre;jessie16@adventure-works.com;30000;2;0;Partial College;Estudios universitarios (en curso);Clerical;Administrativo;1;2;213 Valencia Place;;1 (11) 500 555-0184;16/01/2011;5-10 Km
11028;17;AW00011028;Jill;Jimenez;09/10/1951;C;Mujer;jill13@adventure-works.com;30000;2;0;Partial College;Estudios universitarios (en curso);Clerical;Administrativo;1;2;9111 Rose Ann Ave;;1 (11) 500 555-0116;26/01/2011;1-2 Km
11029;32;AW00011029;Jimmy;Moreno;19/06/1952;C;Hombre;jimmy9@adventure-works.com;30000;2;0;Partial College;Estudios universitarios (en curso);Clerical;Administrativo;1;2;6385 Mark Twain;;1 (11) 500 555-0146;19/01/2011;1-2 Km
11030;28;AW00011030;Bethany;Yuan;18/02/1958;C;Mujer;bethany10@adventure-works.com;10000;2;1;Partial High School;Educación secundaria (en curso);Clerical;Administrativo;1;2;636 Vine Hill Way;;1 (11) 500 555-0182;05/02/2011;1-2 Km
11031;8;AW00011031;Theresa;Ramos;18/02/1953;C;Mujer;theresa13@adventure-works.com;20000;4;0;High School;Educación secundaria;Skilled Manual;Obrero especializado;1;2;6465 Detroit Ave.;;1 (11) 500 555-0195;01/02/2011;1-2 Km
11032;35;AW00011032;Denise;Stone;08/12/1952;C;Mujer;denise10@adventure-works.com;20000;4;0;High School;Educación secundaria;Skilled Manual;Obrero especializado;1;2;626 Bentley Street;;1 (11) 500 555-0169;18/02/2011;1-2 Km
11033;9;AW00011033;Jaime;Nath;19/09/1958;C;Hombre;jaime41@adventure-works.com;20000;4;0;High School;Educación secundaria;Skilled Manual;Obrero especializado;1;2;5927 Rainbow Dr;;1 (11) 500 555-0137;15/02/2011;5-10 Km
11034;12;AW00011034;Ebony;Gonzalez;16/12/1952;C;Mujer;ebony19@adventure-works.com;20000;4;0;High School;Educación secundaria;Skilled Manual;Obrero especializado;1;2;5167 Condor Place;;1 (11) 500 555-0136;01/02/2011;5-10 Km
11035;33;AW00011035;Wendy;Dominguez;23/08/1953;C;Mujer;wendy12@adventure-works.com;10000;2;1;Partial High School;Educación secundaria (en curso);Clerical;Administrativo;1;2;1873 Mt. Whitney Dr;;1 (11) 500 555-0177;06/02/2011;1-2 Km
11036;343;AW00011036;Jennifer;Russell;16/06/1984;C;Mujer;jennifer93@adventure-works.com;60000;0;0;Partial College;Estudios universitarios (en curso);Skilled Manual;Obrero especializado;1;2;3981 Augustine Drive;;115-555-0183;22/01/2013;1-2 Km
11037;49;AW00011037;Chloe;Garcia;27/05/1983;S;Mujer;chloe27@adventure-works.com;40000;0;0;Partial High School;Educación secundaria (en curso);Clerical;Administrativo;0;2;8915 Woodside Way;;229-555-0112;20/01/2013;5-10 Km
11038;6;AW00011038;Diana;Hernandez;20/09/1953;C;Mujer;diana2@adventure-works.com;10000;2;1;Partial High School;Educación secundaria (en curso);Clerical;Administrativo;1;2;8357 Sandy Cove Lane;;1 (11) 500 555-0114;07/02/2011;5-10 Km
11039;19;AW00011039;Marc;Martin;16/06/1954;C;Hombre;marc3@adventure-works.com;30000;3;0;Partial College;Estudios universitarios (en curso);Clerical;Administrativo;1;2;9353 Creekside Dr.;;1 (11) 500 555-0183;07/02/2011;5-10 Km
11040;642;AW00011040;Jesse;Murphy;29/01/1983;C;Hombre;jesse15@adventure-works.com;30000;0;0;Partial College;Estudios universitarios (en curso);Skilled Manual;Obrero especializado;1;2;3350 Kingswood Circle;;961-555-0176;03/04/2013;1-2 Km
11041;325;AW00011041;Amanda;Carter;15/04/1983;C;Mujer;amanda53@adventure-works.com;60000;0;0;Partial College;Estudios universitarios (en curso);Skilled Manual;Obrero especializado;1;2;5826 Escobar;;295-555-0145;14/01/2013;1-2 Km
11042;338;AW00011042;Megan;Sanchez;11/12/1982;C;Mujer;megan28@adventure-works.com;70000;0;0;Partial College;Estudios universitarios (en curso);Skilled Manual;Obrero especializado;1;2;1397 Paraiso Ct.;;404-555-0199;21/01/2013;0-1 Km
11043;325;AW00011043;Nathan;Simmons;23/08/1981;C;Hombre;nathan11@adventure-works.com;60000;0;0;Partial College;Estudios universitarios (en curso);Skilled Manual;Obrero especializado;1;2;1170 Shaw Rd;;296-555-0181;08/05/2013;5-10 Km
11044;25;AW00011044;Adam;Flores;21/11/1954;C;Hombre;adam10@adventure-works.com;20000;2;1;Partial High School;Educación secundaria (en curso);Clerical;Administrativo;1;2;6935 Candle Dr;;1 (11) 500 555-0163;28/02/2011;1-2 Km
11045;8;AW00011045;Leonard;Nara;16/11/1955;S;Hombre;leonard18@adventure-works.com;30000;3;0;High School;Educación secundaria;Skilled Manual;Obrero especializado;0;2;7466 La Vista Ave.;;1 (11) 500 555-0151;10/04/2013;1-2 Km
11046;6;AW00011046;Christine;Yuan;19/09/1955;C;Mujer;christine4@adventure-works.com;30000;3;0;High School;Educación secundaria;Skilled Manual;Obrero especializado;1;2;2356 Orange St;;1 (11) 500 555-0113;06/02/2011;5-10 Km
11047;34;AW00011047;Jaclyn;Lu;27/08/1955;C;Mujer;jaclyn12@adventure-works.com;30000;3;0;High School;Educación secundaria;Skilled Manual;Obrero especializado;0;2;2812 Mazatlan;;1 (11) 500 555-0137;03/02/2011;1-2 Km
11048;39;AW00011048;Jeremy;Powell;21/05/1956;C;Hombre;jeremy26@adventure-works.com;30000;3;0;High School;Educación secundaria;Skilled Manual;Obrero especializado;1;2;1803 Potomac Dr.;;1 (11) 500 555-0183;10/02/2011;5-10 Km
11049;307;AW00011049;Carol;Rai;15/01/1986;S;Mujer;carol8@adventure-works.com;40000;0;0;Partial High School;Educación secundaria (en curso);Clerical;Administrativo;1;2;6064 Madrid;;654-555-0180;09/03/2013;5-10 Km
11050;31;AW00011050;Alan;Zheng;06/03/1957;C;Hombre;alan23@adventure-works.com;30000;3;0;High School;Educación secundaria;Skilled Manual;Obrero especializado;1;2;2741 Gainborough Dr.;;1 (11) 500 555-0135;20/02/2011;5-10 Km
11051;21;AW00011051;Daniel;Johnson;31/01/1957;S;Hombre;daniel18@adventure-works.com;30000;3;0;High School;Educación secundaria;Skilled Manual;Obrero especializado;0;2;8085 Sunnyvale Avenue;;1 (11) 500 555-0155;29/12/2013;1-2 Km
11052;8;AW00011052;Heidi;Lopez;03/02/1957;S;Mujer;heidi19@adventure-works.com;40000;2;0;Partial College;Estudios universitarios (en curso);Clerical;Administrativo;0;2;2514 Via Cordona;;1 (11) 500 555-0168;17/02/2011;5-10 Km
11053;359;AW00011053;Ana;Price;17/02/1986;C;Mujer;ana0@adventure-works.com;60000;0;0;Partial College;Estudios universitarios (en curso);Skilled Manual;Obrero especializado;0;2;1660 Stonyhill Circle;;859-555-0113;17/01/2013;1-2 Km
11054;34;AW00011054;Deanna;Munoz;07/09/1957;C;Mujer;deanna33@adventure-works.com;40000;2;0;Partial College;Estudios universitarios (en curso);Skilled Manual;Obrero especializado;1;2;5825 B Way;;1 (11) 500 555-0192;03/02/2011;5-10 Km
11055;22;AW00011055;Gilbert;Raje;02/09/1957;C;Hombre;gilbert35@adventure-works.com;40000;2;0;Partial College;Estudios universitarios (en curso);Skilled Manual;Obrero especializado;1;2;8811 The Trees Dr.;;1 (11) 500 555-0129;31/01/2011;5-10 Km
11056;10;AW00011056;Michele;Nath;01/10/1958;C;Mujer;michele19@adventure-works.com;40000;3;0;Partial College;Estudios universitarios (en curso);Skilled Manual;Obrero especializado;1;2;5464 Janin Pl.;;1 (11) 500 555-0178;26/02/2011;5-10 Km
11057;5;AW00011057;Carl;Andersen;07/04/1970;C;Hombre;carl12@adventure-works.com;70000;2;0;Graduate Degree;Estudios de postgrado;Management;Gestión;1;2;6930 Lake Nadine Place;;1 (11) 500 555-0181;22/02/2011;1-2 Km
11058;29;AW00011058;Marc;Diaz;23/04/1965;C;Hombre;marc6@adventure-works.com;80000;2;0;Partial College;Estudios universitarios (en curso);Skilled Manual;Obrero especializado;1;2;6645 Sinaloa;;1 (11) 500 555-0149;09/03/2011;1-2 Km
11059;27;AW00011059;Ashlee;Andersen;29/09/1959;S;Mujer;ashlee19@adventure-works.com;80000;2;0;Partial College;Estudios universitarios (en curso);Skilled Manual;Obrero especializado;1;2;8255 Highland Road;;1 (11) 500 555-0112;18/02/2013;5-10 Km
11060;40;AW00011060;Jon;Zhou;14/09/1959;C;Hombre;jon28@adventure-works.com;80000;2;0;Partial College;Estudios universitarios (en curso);Skilled Manual;Obrero especializado;1;2;6574 Hemlock Ave.;;1 (11) 500 555-0174;19/03/2011;5-10 Km
11061;23;AW00011061;Todd;Gao;20/02/1976;C;Hombre;todd14@adventure-works.com;80000;2;0;Partial College;Estudios universitarios (en curso);Skilled Manual;Obrero especializado;1;2;8808 Geneva Ave;;1 (11) 500 555-0191;13/03/2011;5-10 Km
11062;547;AW00011062;Noah;Powell;01/03/1981;C;Hombre;noah5@adventure-works.com;40000;0;0;High School;Educación secundaria;Skilled Manual;Obrero especializado;1;2;9794 Marion Ct;;767-555-0113;07/01/2013;5-10 Km
11063;634;AW00011063;Angela;Murphy;04/10/1980;S;Mujer;angela41@adventure-works.com;40000;0;0;High School;Educación secundaria;Skilled Manual;Obrero especializado;1;2;4927 Virgil Street;# 21;451-555-0162;12/01/2013;5-10 Km
11064;315;AW00011064;Chase;Reed;05/06/1981;C;Hombre;chase21@adventure-works.com;40000;0;0;High School;Educación secundaria;Skilled Manual;Obrero especializado;1;2;2721 Alexander Pl.;;892-555-0184;25/01/2013;5-10 Km
11065;331;AW00011065;Jessica;Henderson;08/04/1979;C;Mujer;jessica29@adventure-works.com;60000;0;0;Partial College;Estudios universitarios (en curso);Skilled Manual;Obrero especializado;0;2;9343 Ironwood Way;;278-555-0186;10/02/2013;1-2 Km
11066;543;AW00011066;Grace;Butler;27/05/1979;C;Mujer;grace62@adventure-works.com;70000;0;0;Partial College;Estudios universitarios (en curso);Professional;Profesional;1;2;4739 Garden Ave.;;712-555-0141;31/05/2013;5-10 Km
11067;632;AW00011067;Caleb;Carter;25/03/1982;S;Hombre;caleb40@adventure-works.com;60000;0;0;Partial College;Estudios universitarios (en curso);Professional;Profesional;1;2;9563 Pennsylvania Blvd.;;944-555-0167;18/08/2013;5-10 Km
11068;40;AW00011068;Tiffany;Liang;19/09/1966;S;Mujer;tiffany17@adventure-works.com;80000;2;0;High School;Educación secundaria;Skilled Manual;Obrero especializado;1;2;3608 Sinclair Avenue;# 701;1 (11) 500 555-0177;30/04/2013;5-10 Km
11069;23;AW00011069;Carolyn;Navarro;17/09/1966;S;Mujer;carolyn30@adventure-works.com;80000;2;0;High School;Educación secundaria;Skilled Manual;Obrero especializado;0;2;4606 Springwood Court;;1 (11) 500 555-0145;17/04/2011;1-2 Km
11070;39;AW00011070;Willie;Raji;02/10/1960;C;Hombre;willie40@adventure-works.com;80000;2;0;High School;Educación secundaria;Skilled Manual;Obrero especializado;1;2;6260 Vernal Drive;;1 (11) 500 555-0151;28/04/2011;5-10 Km
11071;24;AW00011071;Linda;Serrano;23/12/1960;S;Mujer;linda31@adventure-works.com;80000;2;0;High School;Educación secundaria;Skilled Manual;Obrero especializado;1;2;9808 Shaw Rd.;;1 (11) 500 555-0130;01/03/2013;5-10 Km
11072;17;AW00011072;Casey;Luo;05/08/1960;S;Mujer;casey6@adventure-works.com;80000;2;0;High School;Educación secundaria;Skilled Manual;Obrero especializado;0;2;9513 Roslyn Drive;;1 (11) 500 555-0125;31/03/2011;1-2 Km
11073;16;AW00011073;Amy;Ye;11/02/1962;S;Mujer;amy16@adventure-works.com;70000;2;0;High School;Educación secundaria;Skilled Manual;Obrero especializado;1;2;2262 Kirkwood Ct.;;1 (11) 500 555-0185;23/03/2013;5-10 Km
11074;28;AW00011074;Levi;Arun;25/02/1962;S;Hombre;levi6@adventure-works.com;70000;2;0;High School;Educación secundaria;Skilled Manual;Obrero especializado;1;2;4661 Bluetail;;1 (11) 500 555-0127;23/03/2013;5-10 Km
11075;32;AW00011075;Felicia;Jimenez;16/05/1963;S;Mujer;felicia4@adventure-works.com;80000;2;0;High School;Educación secundaria;Professional;Profesional;1;2;786 Eastgate Ave;;1 (11) 500 555-0165;28/04/2011;5-10 Km
11076;19;AW00011076;Blake;Anderson;10/01/1963;S;Hombre;blake9@adventure-works.com;80000;2;0;High School;Educación secundaria;Professional;Profesional;1;2;5436 Clear;# 101;1 (11) 500 555-0113;21/04/2011;5-10 Km
11077;36;AW00011077;Leah;Ye;19/03/1963;S;Mujer;leah7@adventure-works.com;80000;2;0;High School;Educación secundaria;Professional;Profesional;0;2;1291 Arguello Blvd.;;1 (11) 500 555-0154;15/04/2011;1-2 Km
11078;49;AW00011078;Gina;Martin;06/01/1985;S;Mujer;gina1@adventure-works.com;40000;0;0;High School;Educación secundaria;Professional;Profesional;0;2;1349 Sol St.;;196-555-0114;15/02/2013;1-2 Km
11079;34;AW00011079;Donald;Gonzalez;07/03/1970;S;Hombre;donald20@adventure-works.com;160000;0;0;Graduate Degree;Estudios de postgrado;Management;Gestión;1;2;4236 Malibu Place;;1 (11) 500 555-0137;15/03/2013;0-1 Km
11080;30;AW00011080;Damien;Chander;13/01/1965;C;Hombre;damien32@adventure-works.com;170000;0;0;Graduate Degree;Estudios de postgrado;Management;Gestión;1;2;9941 Stonehedge Dr.;;1 (11) 500 555-0111;10/04/2011;0-1 Km
11081;311;AW00011081;Savannah;Baker;21/01/1972;C;Mujer;savannah39@adventure-works.com;120000;2;2;Bachelors;Licenciatura;Management;Gestión;1;3;1210 Trafalgar Circle;;478-555-0117;12/02/2013;2-5 Km
11082;322;AW00011082;Angela;Butler;01/02/1972;S;Mujer;angela17@adventure-works.com;130000;0;1;Graduate Degree;Estudios de postgrado;Management;Gestión;0;3;6040 Listing Ct;;579-555-0195;22/01/2013;1-2 Km
11083;336;AW00011083;Alyssa;Cox;11/03/1977;C;Mujer;alyssa37@adventure-works.com;130000;0;1;Graduate Degree;Estudios de postgrado;Management;Gestión;1;3;867 La Orinda Place;;561-555-0140;06/01/2013;1-2 Km
11084;543;AW00011084;Lucas;Phillips;12/03/1963;S;Hombre;lucas7@adventure-works.com;80000;2;0;Partial High School;Educación secundaria (en curso);Skilled Manual;Obrero especializado;0;2;8668 St. Celestine Court;;863-555-0172;04/01/2013;1-2 Km
11085;345;AW00011085;Emily;Johnson;16/01/1963;S;Mujer;emily1@adventure-works.com;60000;2;0;High School;Educación secundaria;Professional;Profesional;0;2;7926 Stephanie Way;;850-555-0184;06/12/2013;5-10 Km
11086;369;AW00011086;Ryan;Brown;22/06/1963;C;Hombre;ryan43@adventure-works.com;70000;2;1;Partial College;Estudios universitarios (en curso);Professional;Profesional;1;0;2939 Wesley Ct.;;539-555-0198;02/07/2013;0-1 Km
11087;307;AW00011087;Tamara;Liang;02/04/1963;C;Mujer;tamara6@adventure-works.com;70000;3;2;Partial College;Estudios universitarios (en curso);Professional;Profesional;0;0;3791 Rossmor Parkway;;178-555-0152;25/02/2013;0-1 Km
11088;359;AW00011088;Hunter;Davis;25/05/1963;C;Hombre;hunter64@adventure-works.com;80000;2;1;Bachelors;Licenciatura;Management;Gestión;1;0;4308 Sand Pointe Lane;;612-555-0141;13/01/2013;2-5 Km
11089;337;AW00011089;Abigail;Price;05/08/1962;S;Mujer;abigail25@adventure-works.com;80000;2;1;Bachelors;Licenciatura;Management;Gestión;1;1;2685 Blackburn Ct;;532-555-0117;29/12/2012;2-5 Km
11090;338;AW00011090;Trevor;Bryant;13/12/1968;S;Hombre;trevor18@adventure-works.com;90000;2;0;Partial College;Estudios universitarios (en curso);Professional;Profesional;1;1;5781 Sharon Dr.;;853-555-0174;07/08/2011;2-5 Km
11091;50;AW00011091;Dalton;Perez;02/10/1962;C;Hombre;dalton37@adventure-works.com;90000;2;0;Partial College;Estudios universitarios (en curso);Professional;Profesional;1;1;6083 San Jose;;559-555-0115;29/01/2013;5-10 Km
11092;22;AW00011092;Cheryl;Diaz;02/11/1972;C;Mujer;cheryl4@adventure-works.com;90000;2;2;Bachelors;Licenciatura;Professional;Profesional;1;0;7297 Kaywood Drive;;1 (11) 500 555-0192;08/04/2011;1-2 Km
11093;19;AW00011093;Aimee;He;06/09/1978;C;Mujer;aimee13@adventure-works.com;100000;0;0;Graduate Degree;Estudios de postgrado;Management;Gestión;1;0;1833 Olympic Drive;;1 (11) 500 555-0161;07/04/2011;0-1 Km
11094;33;AW00011094;Cedric;Ma;29/09/1967;S;Hombre;cedric15@adventure-works.com;70000;1;0;Partial College;Estudios universitarios (en curso);Skilled Manual;Obrero especializado;0;1;3407 Oak Brook Place;;1 (11) 500 555-0115;07/04/2013;0-1 Km
11095;13;AW00011095;Chad;Kumar;29/02/1968;S;Hombre;chad9@adventure-works.com;70000;1;0;Partial College;Estudios universitarios (en curso);Skilled Manual;Obrero especializado;1;1;1681 Lighthouse Way;;1 (11) 500 555-0151;01/04/2011;5-10 Km
11096;12;AW00011096;Andrés;Anand;07/02/1968;C;Hombre;andrés18@adventure-works.com;60000;1;0;Bachelors;Licenciatura;Professional;Profesional;1;1;5423 Los Gatos Ct.;;1 (11) 500 555-0184;11/04/2011;5-10 Km
11097;40;AW00011097;Edwin;Nara;23/10/1972;C;Hombre;edwin39@adventure-works.com;60000;1;0;Partial College;Estudios universitarios (en curso);Skilled Manual;Obrero especializado;1;1;719 William Way;;1 (11) 500 555-0112;04/04/2011;5-10 Km
11098;14;AW00011098;Mallory;Rubio;29/10/1966;S;Mujer;mallory7@adventure-works.com;60000;1;0;Partial College;Estudios universitarios (en curso);Skilled Manual;Obrero especializado;0;1;6452 Harris Circle;;1 (11) 500 555-0157;11/02/2013;0-1 Km
11099;13;AW00011099;Adam;Ross;05/09/1966;C;Hombre;adam2@adventure-works.com;60000;1;0;Bachelors;Licenciatura;Professional;Profesional;1;1;4378 Westminster Place;;1 (11) 500 555-0186;07/04/2011;0-1 Km
11100;28;AW00011100;Latasha;Navarro;15/03/1966;S;Mujer;latasha10@adventure-works.com;60000;1;0;Partial College;Estudios universitarios (en curso);Skilled Manual;Obrero especializado;1;1;6954 Ranch Road;;1 (11) 500 555-0123;16/04/2011;5-10 Km
11101;33;AW00011101;Abby;Sai;05/11/1970;S;Mujer;abby4@adventure-works.com;70000;0;0;Bachelors;Licenciatura;Professional;Profesional;0;1;7074 N. Spoonwood Court;;1 (11) 500 555-0174;29/04/2011;0-1 Km
11102;18;AW00011102;Julia;Nelson;19/10/1970;S;Mujer;julia7@adventure-works.com;80000;5;5;Bachelors;Licenciatura;Professional;Profesional;1;4;2196 Coat Ct.;;1 (11) 500 555-0124;16/07/2013;1-2 Km
11103;3;AW00011103;Cassie;Chande;12/04/1981;S;Mujer;cassie13@adventure-works.com;70000;0;0;Bachelors;Licenciatura;Professional;Profesional;1;1;9448 San Marino Ct.;;1 (11) 500 555-0166;15/04/2011;5-10 Km
11104;23;AW00011104;Edgar;Sara;08/03/1975;C;Hombre;edgar11@adventure-works.com;70000;0;0;Bachelors;Licenciatura;Professional;Profesional;0;1;6127 Lilly Lane;;1 (11) 500 555-0125;04/05/2011;0-1 Km
11105;8;AW00011105;Candace;Fernandez;27/06/1970;S;Mujer;candace15@adventure-works.com;70000;0;0;Bachelors;Licenciatura;Professional;Profesional;0;1;5029 Blue Ridge;;1 (11) 500 555-0162;14/05/2011;5-10 Km
11106;40;AW00011106;Jessie;Liu;11/03/1970;S;Hombre;jessie9@adventure-works.com;70000;0;0;Bachelors;Licenciatura;Professional;Profesional;0;1;3063 Blue Jay Drive;;1 (11) 500 555-0163;18/05/2011;5-10 Km
11107;17;AW00011107;Bianca;Lin;04/03/1976;C;Mujer;bianca7@adventure-works.com;90000;1;0;Bachelors;Licenciatura;Professional;Profesional;1;1;7530 Eola;;1 (11) 500 555-0121;01/05/2011;5-10 Km
11108;13;AW00011108;Kari;Alvarez;10/01/1969;S;Mujer;kari25@adventure-works.com;70000;0;0;Bachelors;Licenciatura;Professional;Profesional;0;2;9178 Thornhill Place;;1 (11) 500 555-0169;03/05/2011;0-1 Km
11109;38;AW00011109;Ruben;Kapoor;30/04/1980;S;Hombre;ruben1@adventure-works.com;70000;0;0;Bachelors;Licenciatura;Professional;Profesional;0;2;1984 Glendale Circle;;1 (11) 500 555-0132;10/05/2011;0-1 Km
11110;3;AW00011110;Curtis;Yang;04/12/1967;C;Hombre;curtis5@adventure-works.com;60000;1;0;Partial College;Estudios universitarios (en curso);Skilled Manual;Obrero especializado;1;1;4052 Mt. Wilson Way;;1 (11) 500 555-0127;01/05/2011;5-10 Km
